City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Malatya Province,0,TR,1596072190,33,38.5,38.0,297.15,5.1
Rikitea,100,PF,1596072184,85,-23.12,-134.97,295.92,6.12
Alta Floresta,0,BR,1596072452,41,-9.88,-56.09,296.34,1.87
Ilhabela,100,BR,1596072316,87,-23.78,-45.36,292.38,2.73
Grants Pass,1,US,1596072323,12,42.44,-123.33,310.15,3.6
Avarua,1,CK,1596072248,83,-21.21,-159.78,294.15,5.1
Iquique,90,CL,1596072452,67,-20.22,-70.14,289.15,2.1
Hithadhoo,96,MV,1596072452,78,-0.6,73.08,301.38,6.47
Busselton,93,AU,1596072245,100,-33.65,115.33,282.59,0.45
Raduzhny,100,RU,1596072454,85,62.1,77.47,284.56,1.8
Jamestown,90,US,1596072454,78,42.1,-79.24,295.37,2.6
Port Alfred,1,ZA,1596072454,69,-33.59,26.89,287.86,8.92
Pangnirtung,99,CA,1596072454,74,66.15,-65.71,285.61,1.55
Cabo San Lucas,40,MX,1596072256,65,22.89,-109.91,302.59,7.2
Khunti,90,IN,1596072454,94,23.08,85.28,298.15,2.6
Gushikawa,75,JP,1596072454,74,26.35,127.87,304.15,7.2
Cherskiy,16,RU,1596072455,61,68.75,161.3,282.62,7.79
Sakakah,20,SA,1596072455,12,29.97,40.21,311.15,2.6
Vaini,75,TO,1596072455,88,-21.2,-175.2,293.15,6.7
Tasiilaq,55,GL,1596072455,81,65.61,-37.64,279.15,2.1
Faanui,76,PF,1596072455,79,-16.48,-151.75,299.74,7.7
Constitución,100,CL,1596072455,70,-35.33,-72.42,282.47,1.41
Kaitangata,100,NZ,1596072455,70,-46.28,169.85,284.26,1.79
Ushuaia,20,AR,1596072212,95,-54.8,-68.3,276.15,7.7
Hermanus,69,ZA,1596072255,81,-34.42,19.23,287.11,3.96
Tuktoyaktuk,40,CA,1596072455,76,69.45,-133.04,286.15,4.6
Emerald,0,AU,1596072455,42,-23.53,148.17,293.71,7.2
Murchison,100,NZ,1596072456,70,-41.8,172.33,285.44,0.78
Ribeira Grande,53,PT,1596072456,90,38.52,-28.7,296.71,10.62
Mataura,100,NZ,1596072456,72,-46.19,168.86,286.28,1.43
Nikolskoye,2,RU,1596072456,87,59.7,30.79,286.48,3.0
Buloh Kasap,20,MY,1596072456,88,2.55,102.76,299.15,1.37
Bülach,0,CH,1596072456,77,47.52,8.54,290.15,0.5
Barrow,1,US,1596072301,75,71.29,-156.79,281.15,9.8
Souillac,40,MU,1596072456,88,-20.52,57.52,294.15,2.6
Lüderitz,0,NA,1596072278,59,-26.65,15.16,289.15,4.1
Upata,75,VE,1596072456,88,8.01,-62.4,300.37,1.34
Narsaq,98,GL,1596072456,71,60.92,-46.05,284.15,2.6
Yar-Sale,2,RU,1596072457,72,66.83,70.83,285.11,3.03
São Filipe,100,CV,1596072457,87,14.9,-24.5,298.14,3.65
Coquimbo,0,CL,1596072457,93,-29.95,-71.34,283.15,1.5
